frame_number,Time,avg_u,avg_v
413,13.765610608444794,-0.246,-0.177,8309
414,13.798941384736427,-0.245,-0.177,8330
415,13.832272161028062,-0.245,-0.178,8349
416,13.865602937319695,-0.244,-0.178,8370
417,13.89893371361133,-0.244,-0.178,8389
418,13.932264489902963,-0.243,-0.178,8411
419,13.965595266194597,-0.243,-0.179,8429
420,13.99892604248623,-0.243,-0.179,8450
421,14.032256818777864,-0.243,-0.179,8470
422,14.065587595069498,-0.242,-0.18,8489
423,14.098918371361131,-0.242,-0.18,8508
424,14.132249147652766,-0.242,-0.18,8529
425,14.1655799239444,-0.242,-0.18,8551
426,14.198910700236034,-0.242,-0.181,8571
427,14.232241476527667,-0.241,-0.181,8591
428,14.265572252819302,-0.241,-0.181,8609
429,14.298903029110935,-0.241,-0.181,8628
430,14.33223380540257,-0.241,-0.181,8648
431,14.365564581694203,-0.241,-0.181,8669
432,14.398895357985838,-0.24,-0.181,8690
433,14.432226134277471,-0.24,-0.181,8711
434,14.465556910569106,-0.24,-0.181,8732
435,14.498887686860739,-0.24,-0.181,8754
436,14.532218463152372,-0.24,-0.181,8773
437,14.565549239444007,-0.24,-0.181,8792
438,14.59888001573564,-0.239,-0.181,8812
439,14.632210792027275,-0.239,-0.181,8832
440,14.665541568318908,-0.239,-0.181,8852
441,14.698872344610542,-0.239,-0.181,8872
442,14.732203120902176,-0.239,-0.181,8892
443,14.76553389719381,-0.239,-0.181,8912
444,14.798864673485443,-0.239,-0.181,8932
445,14.832195449777078,-0.239,-0.182,8953
446,14.865526226068711,-0.238,-0.182,8973
447,14.898857002360346,-0.238,-0.182,8993
448,14.93218777865198,-0.238,-0.182,9011
449,14.965518554943612,-0.238,-0.182,9033
450,14.998849331235247,-0.238,-0.182,9053
451,15.03218010752688,-0.237,-0.183,9075
452,15.065510883818515,-0.237,-0.183,9095
453,15.098841660110148,-0.237,-0.183,9117
454,15.132172436401783,-0.237,-0.183,9138
455,15.165503212693416,-0.236,-0.183,9158
456,15.19883398898505,-0.236,-0.183,9182
457,15.232164765276684,-0.236,-0.184,9205
458,15.265495541568319,-0.236,-0.184,9226
459,15.298826317859952,-0.237,-0.184,9248
460,15.332157094151587,-0.238,-0.184,9267
461,15.36548787044322,-0.239,-0.185,9289
462,15.398818646734854,-0.24,-0.185,9310
463,15.432149423026488,-0.241,-0.186,9331
464,15.46548019931812,-0.242,-0.186,9351
465,15.498810975609755,-0.242,-0.186,9371
466,15.532141751901388,-0.242,-0.186,9391
467,15.565472528193023,-0.242,-0.187,9410
468,15.598803304484656,-0.242,-0.187,9430
469,15.632134080776291,-0.241,-0.187,9448
470,15.665464857067924,-0.241,-0.187,9469
471,15.698795633359559,-0.24,-0.188,9491
472,15.732126409651192,-0.24,-0.188,9511
473,15.765457185942827,-0.24,-0.188,9534
474,15.79878796223446,-0.24,-0.189,9558
475,15.832118738526095,-0.24,-0.189,9581
476,15.865449514817728,-0.24,-0.19,9599
477,15.898780291109361,-0.24,-0.19,9617
478,15.932111067400996,-0.24,-0.191,9637
479,15.965441843692629,-0.241,-0.191,9657
480,15.998772619984264,-0.241,-0.192,9676
481,16.032103396275897,-0.241,-0.192,9694
482,16.06543417256753,-0.241,-0.192,9712
483,16.098764948859166,-0.241,-0.192,9733
484,16.132095725150798,-0.241,-0.192,9754
485,16.165426501442433,-0.242,-0.192,9775
486,16.198757277734067,-0.242,-0.193,9795
487,16.232088054025702,-0.242,-0.193,9814
488,16.265418830317333,-0.242,-0.194,9833
489,16.29874960660897,-0.243,-0.194,9853
490,16.332080382900603,-0.243,-0.195,9872
491,16.365411159192234,-0.243,-0.195,9891
492,16.39874193548387,-0.243,-0.195,9912
493,16.432072711775504,-0.243,-0.196,9930
494,16.46540348806714,-0.244,-0.196,9948
495,16.49873426435877,-0.244,-0.196,9966
496,16.532065040650405,-0.244,-0.196,9985
497,16.56539581694204,-0.244,-0.197,10004
498,16.598726593233675,-0.244,-0.197,10021
499,16.632057369525306,-0.244,-0.197,10039
500,16.66538814581694,-0.245,-0.198,10058
501,16.698718922108576,-0.245,-0.199,10073
502,16.73204969840021,-0.245,-0.199,10091
503,16.765380474691842,-0.245,-0.2,10107
504,16.798711250983477,-0.246,-0.201,10124
505,16.83204202727511,-0.246,-0.201,10141
506,16.865372803566743,-0.246,-0.202,10160
507,16.898703579858378,-0.246,-0.203,10177
508,16.932034356150012,-0.247,-0.204,10196
509,16.965365132441647,-0.247,-0.205,10213
510,16.99869590873328,-0.247,-0.205,10230
511,17.032026685024913,-0.247,-0.206,10246
512,17.065357461316548,-0.248,-0.207,10263
513,17.098688237608183,-0.248,-0.208,10282
514,17.132019013899814,-0.247,-0.208,10301
515,17.16534979019145,-0.247,-0.209,10320
516,17.198680566483084,-0.247,-0.21,10338
517,17.23201134277472,-0.247,-0.21,10357
518,17.26534211906635,-0.247,-0.211,10374
519,17.298672895357985,-0.247,-0.212,10393
520,17.33200367164962,-0.247,-0.212,10410
521,17.36533444794125,-0.246,-0.213,10428
522,17.398665224232886,-0.246,-0.214,10446
523,17.43199600052452,-0.246,-0.215,10465
524,17.465326776816156,-0.246,-0.215,10485
525,17.498657553107787,-0.246,-0.216,10504
526,17.53198832939942,-0.245,-0.217,10522
527,17.565319105691056,-0.245,-0.218,10542
528,17.59864988198269,-0.244,-0.219,10561
529,17.631980658274323,-0.244,-0.219,10581
530,17.665311434565957,-0.244,-0.22,10601
531,17.698642210857592,-0.243,-0.221,10621
532,17.731972987149227,-0.243,-0.222,10641
533,17.76530376344086,-0.243,-0.223,10661
534,17.798634539732493,-0.243,-0.224,10680
535,17.831965316024128,-0.242,-0.224,10701
536,17.86529609231576,-0.242,-0.225,10723
537,17.898626868607394,-0.242,-0.226,10743
538,17.93195764489903,-0.241,-0.227,10763
